"#","Player","Pos","Team","GP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Trey McBride","TE","ARI","17","9.1","10.8","12.8","8.7","6.6","17.2","24.4","BYE","14","23.2","22.5","12.4","18.2","8.3","31.4","4.7","18.6","10","14.9","252.9"
"2","Kyle Pitts Sr.","TE","ATL","17","9.4","5.7","5.9","15.5","BYE","3.3","9.7","10.4","5.8","4.8","2.4","3.5","11.7","12","40.1","15.2","2.6","8.8","9.8","166.8"
"3","Travis Kelce","TE","KC","17","11.7","8.1","4.6","7.3","15.6","10.8","6.9","18.9","10.6","BYE","19.6","6.4","13","1.3","10.5","1.1","6.1","2.7","9.1","155.2"
"4","Dallas Goedert","TE","PHI","15","7.9","-","9.8","17.7","9.4","21.5","3.3","16.3","BYE","6.3","3.4","3","3.7","11.8","22","10.7","8.3","-","10.3","155.1"
"5","Tyler Warren","TE","IND","17","11.4","9.9","5.3","15.8","12.4","15.3","14.9","7.3","5.1","13.9","BYE","7","9.7","2.7","3.4","4.5","6.8","5.1","8.9","150.5"
"6","Harold Fannin Jr.","TE","CLE","16","10.1","7.3","4","3.5","9.3","11.6","5.6","15.4","BYE","6.4","3.6","6.4","9.8","21.4","8.5","17.5","10","-","9.4","150.4"
"7","Hunter Henry","TE","NE","17","8.6","1.4","25","10.9","5.6","4.2","5.3","7.2","7.1","1.4","6.5","21","9.3","BYE","2.3","12.5","12.4","8.1","8.8","148.8"
"8","Jake Ferguson","TE","DAL","17","4.8","12.3","14.7","13.5","20.4","10.8","18.4","0","5.5","BYE","9.6","8.6","6.1","8.3","2.6","3.4","7.1","1","8.7","147.1"
"9","Brock Bowers","TE","LV","12","12.8","6.3","7.8","7.1","-","-","-","BYE","37.3","3.2","10.7","8.5","20.3","12.6","5.8","11.8","-","-","12","144.2"
"10","Juwan Johnson","TE","NO","17","11.6","13.4","8.1","4.3","2.7","0.5","10.4","7.8","10.6","17.2","BYE","7.6","6.4","5.8","5","12.9","11.5","5.6","8.3","141.4"
"11","Dalton Schultz","TE","HOU","17","4.3","4.4","6.4","5.5","8.5","BYE","14.3","3.4","10.7","14.8","8.1","1.3","9","3.7","17.6","12","3.4","9.3","8","136.7"
"12","Colston Loveland","TE","CHI","16","2.2","0","3.6","-","BYE","2.1","3.9","5.3","26.8","7.5","5.5","12.9","4.3","10.9","8.1","4.5","18.4","20.1","8.5","136.1"
"13","George Kittle","TE","SF","11","10.5","-","-","-","-","-","0","12.3","4.9","18.9","21.7","10.8","8.7","BYE","18.8","21","-","5.4","12.1","133"
"14","AJ Barner","TE","SEA","17","0.7","9.8","2.8","10.7","20.8","8.6","1.4","BYE","10","0.3","12.1","2.8","5.7","4.2","4.2","13","11.8","2.4","7.1","121.3"
"15","Colby Parkinson","TE","LAR","15","-1.6","-","0","2.7","0","-","6.2","BYE","2","12.1","8.4","12.1","4.7","10.7","22","3.1","8.3","17.6","7.2","108.3"
"16","Mark Andrews","TE","BAL","17","1","0.9","24.1","6.5","3.2","4.6","BYE","4.9","15.6","8.9","14.2","1.6","6.7","1.4","2.8","3.4","4.8","2.4","6.3","107"
