"#","Player","Pos","Team","GP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Justin Jefferson","WR","MIN","17","34.9","7.8","2.9","26","24.3","13.7","BYE","12.8","22","30.3","4.8","24.8","15.1","27.8","24.3","25.3","2","5.8","17.9","304.7"
"2","Davante Adams","WR","LAR","17","25.1","8.2","11.7","15","25.9","-","13.5","0.7","31.6","23.1","29.6","10.9","33.7","8.6","4.8","2.5","30.8","9.8","16.8","285.5"
"3","Tyreek Hill","WR","FA","17","14","36.5","4.3","20.9","9.5","23.7","10.7","25.5","23.8","12.9","-","12","25.1","16.1","17.4","12.3","13.7","3.3","16.6","281.7"
"4","Stefon Diggs","WR","FA","17","22.2","38.8","10.9","8.2","20.2","25.8","-","19.8","11.8","18.8","12.8","17.7","18.7","5.2","8.2","3.6","3.6","19.9","15.7","266.2"
"5","A.J. Brown","WR","PHI","17","20.5","9.4","17","12","4.7","15.2","BYE","36.6","13.9","1.2","6.5","10.6","27.9","15","22.6","13.3","17.7","11.5","15","255.6"
"6","CeeDee Lamb","WR","DAL","17","3.9","11.6","18.7","18.7","7.8","10.2","8.6","16.3","BYE","32.5","7","14.7","17.9","5.8","16.2","29","15.5","13.7","14.6","248.1"
"7","Jaylen Waddle","WR","DEN","17","15.7","34.6","13.1","4.9","3.8","13.9","10.8","26.6","17","8.6","-","11","1.4","4.1","18.9","22.8","6.7","7.8","13","221.7"
"8","Amon-Ra St. Brown","WR","DET","16","16.4","34.9","10.3","-","3.8","BYE","0.9","10.4","7.5","17.1","11.5","23.4","29.1","10.4","11.7","11.1","8.2","7.9","13.4","214.6"
"9","Amari Cooper","WR","FA","17","3.2","20.6","19.6","1.4","17.1","12.4","8.9","20.6","-","4.7","27.3","12.9","6","5.2","7.8","10.2","24","6.1","12.2","208"
"10","DeVonta Smith","WR","PHI","17","0","11.5","26.9","3.2","13.7","12.9","BYE","4.8","3.2","10.9","10.8","7","18.7","14.9","15.1","27.3","16","10.2","12.2","207.1"
"11","Christian Kirk","WR","SF","17","14.7","22.8","16.2","7.3","1.6","8.8","13.6","5.5","17.6","27","-","6.1","13.4","7","12.2","4.1","3.1","18.9","11.8","199.9"
"12","Ja'Marr Chase","WR","CIN","13","23.9","8.3","9.7","10.1","8.5","28.7","29","-","-","BYE","-","-","13.2","23.5","15.5","9.9","0","18.6","15.3","198.9"
"13","Tyler Lockett","WR","LV","16","4.3","15.2","12.1","10.1","24.9","2.7","8","12.8","15.2","11.7","-","14.3","23.3","14.5","10.3","-","2.5","13.4","12.2","195.3"
"14","Terry McLaurin","WR","WAS","17","12.8","10.2","13.2","2.5","10.1","6.7","15.8","13.6","8.1","16.8","7.6","7.3","20.5","BYE","10","15.7","4.7","14.9","11.2","190.5"
