"#","Player","Pos","Team","GP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Christian McCaffrey","RB","SF","16","24.4","21","20.4","45.2","12.8","12.7","21.1","26.8","BYE","17.2","18.8","28.4","20.8","15.8","39.2","22.1","11.1","-","22.4","357.8"
"2","Raheem Mostert","RB","LV","15","12","25.2","41.7","4","14.8","32.7","5.6","10.6","14.5","-","9.8","21.4","11.6","22.5","17.3","11.5","-","-","17","255.2"
"3","Travis Etienne Jr.","RB","NO","17","18.9","5.2","15.8","8.7","34.4","21.8","21.2","24.4","-","5.4","7.4","10.6","15.9","15.2","7.9","4.6","24.8","11.2","14.9","253.4"
"4","Breece Hall","RB","NYJ","17","15.2","0.9","3.2","8.4","26.9","17.8","BYE","18.3","8","9","15.8","8.4","7.5","22.6","2.3","37.1","23.1","28","14.9","252.5"
"5","Joe Mixon","RB","FA","17","8.8","11.5","13.5","8.1","11.4","7.7","-","18.5","15.3","11.5","18.5","7","26.7","20","13.6","8","16.7","24.2","14.2","241"
"6","Kyren Williams","RB","LAR","12","17.4","25","7.5","26.2","6.7","21.8","-","-","-","BYE","-","35.4","18.7","12.8","22","16.4","29.1","-","19.9","239"
"7","Rachaad White","RB","WAS","17","5.9","18.8","5.7","9.3","-","5.3","12.9","14.4","25.9","16.8","14.8","12","18.1","20.5","20.9","16.7","6.6","11.3","13.9","235.9"
"8","Derrick Henry","RB","BAL","17","12.9","17","2","23.9","7.7","18.3","-","14.2","17.7","2.5","4.9","20.1","24.5","17.6","3","20.9","4.2","21.3","13.7","232.7"
"9","Bijan Robinson","RB","ATL","17","17.3","19.2","8","16.2","10.8","10.5","0.3","12.2","4.9","17.1","BYE","25.8","9.4","17.3","-0.1","15.7","10.1","22.6","12.8","217.3"
"10","Jahmyr Gibbs","RB","DET","15","7","9.1","8.7","7.1","-","-","23.1","27.4","BYE","24.7","18.5","9.3","5.9","15.7","23.8","22","4.8","9","14.4","216.1"
"11","James Cook III","RB","BUF","17","8.3","17.9","12.2","14.2","3.6","7.1","17.7","7.8","5.9","11","17.7","13","BYE","22.6","35.1","5","4.9","6.7","12.4","210.7"
"12","Saquon Barkley","RB","PHI","14","7.8","24.2","-","-","-","11.8","17.3","14.3","12.8","6.6","28","5.7","-","21.6","4.7","17.9","7.3","22.7","14.5","202.7"
"13","David Montgomery","RB","HOU","14","13.4","11.9","-","33.1","19.9","3.8","BYE","-","-","17.6","16.8","15.1","12","10","9.2","13.9","12.5","10","14.2","199.2"
"14","Alvin Kamara","RB","NO","13","-","-","-","14.9","17.2","13.9","23.3","25","9","15","BYE","13.9","25.9","12","13.5","6","5.9","-","15","195.5"
"15","Tony Pollard","RB","TEN","17","21.2","16.4","13.6","7.5","6.4","14","BYE","6","7.8","5.5","16","19.3","15.8","13.1","6.7","4.8","5.4","15.6","11.5","195.1"
"16","Isiah Pacheco","RB","DET","14","7.4","7.5","14.8","23.3","12.9","12.8","14","5.2","6.6","-","9.6","23.4","19.8","-","-","8.6","26","-","13.7","191.9"
"17","Jerome Ford","RB","WAS","17","1.6","22.6","18.1","7","-","10.1","16.4","4.4","10.2","11.4","10.9","9.9","12.7","10.7","5.1","8.8","25.1","4.2","11.1","189.2"
"18","James Conner","RB","ARI","13","9.5","16.6","18.6","6.1","4.6","-","-","-","-","7.3","7.3","5.2","22.5","BYE","16.4","19.7","25.8","28.4","14.5","188"
"19","Kenneth Walker III","RB","KC","15","8.7","17.9","29.1","13.9","-","16.4","12.1","7.5","2.2","19.2","2.1","-","-","7.4","18.7","6.1","15","8.6","12.3","184.9"
"20","Najee Harris","RB","LAC","17","4.3","4.8","6.5","10.8","4.5","-","14.3","8","14.6","17.1","4.1","15.9","8.7","6.3","1.3","13.8","24.2","21.8","10.6","181"
"20","Gus Edwards","RB","FA","17","5.2","12.2","5.1","5.9","4.8","5.8","20.9","28.4","17.2","9.3","20","4.2","-","1.5","13.4","13.5","10.8","2.8","10.6","181"
"22","Brian Robinson Jr.","RB","FA","15","13.1","27.9","7","12.1","6.3","12.6","8.3","8.9","11.2","24.7","16.7","7.4","5.3","-","-","-","9.6","9","12","180.1"
"23","D'Andre Swift","RB","CHI","16","0.8","25.6","14.3","15.9","13.8","13.8","9","13.4","8.4","-","18.2","8.9","3","3.9","8.5","15.2","7.1","-","11.2","179.8"
"24","De'Von Achane","RB","MIA","11","-","1.4","49.3","25.5","21","-","-","-","-","BYE","1","-","23.8","9.6","7.7","3.6","21.7","12.6","16.1","177.2"
"25","Jaylen Warren","RB","PIT","17","4.3","10.6","6.7","8.5","9.4","BYE","9.6","5.8","12.8","18","22","5.7","6","6","9.3","7.9","17.8","5.5","9.8","165.9"
"26","Chuba Hubbard","RB","CAR","17","7.9","7.5","1.4","6.3","4","15.5","BYE","6.4","8.7","4.9","7.5","17.7","22.4","10.6","11.3","11.6","9.1","10.2","9.6","163"
"27","Josh Jacobs","RB","GB","13","8.1","7.4","9.5","23.9","17.4","10.3","4.6","15.8","21.8","11.7","5.6","20.5","-","6","-","-","-","-","12.5","162.6"
"28","Austin Ekeler","RB","FA","14","24.4","-","-","-","-","8.2","5.1","19.8","20","19.5","6","6.9","3.7","18.5","5.8","10.1","3.5","8.4","11.4","159.9"
"29","Zack Moss","RB","FA","14","-","18.7","21.5","9","32.5","14.9","6.7","13.9","2.6","0.2","-","8","6.7","7.6","10.8","-","-","3","11.2","156.1"
"30","Javonte Williams","RB","DAL","16","7.7","6.8","7.5","2.4","-","7.2","11.1","17.3","-","19","6.3","8.6","8.5","16.6","3","9.4","7.3","17","9.7","155.7"
"31","Devin Singletary","RB","NYG","17","1.5","2.9","5.5","8.3","0","6.7","-","5.3","3.6","22.6","18.8","10.2","4.5","12.5","19","7.8","10.1","13","9","152.3"
"32","Ezekiel Elliott","RB","FA","17","4.8","1.3","9.2","3.2","5.8","11.4","9.1","3.6","4.7","9.8","-","6.2","11.2","23.5","7.1","16.5","11","10.6","8.8","149"
"33","Jonathan Taylor","RB","IND","10","-","-","-","-","3.9","9","19.5","10.2","15.4","14","BYE","21.1","-","-","-","10.3","16.9","26.6","14.7","146.9"
"34","Tyler Allgeier","RB","ARI","17","22.9","4.8","3.9","1.7","6","5.1","12.7","3.1","10","4.3","-","6.4","2.6","4","5.6","15.3","15.3","4.9","7.6","128.6"
"35","Tyjae Spears","RB","TEN","17","3.3","6.5","2.9","7.3","14.9","6.8","BYE","5.1","4.2","8","3.6","1.2","10.8","14.8","4.2","9.2","4.9","20.1","7.5","127.8"
"36","Rhamondre Stevenson","RB","NE","12","11.9","13.5","6.7","5","2.4","15.5","11.5","6","20.9","11.7","BYE","19.2","2.4","-","-","-","-","-","10.6","126.7"
"37","Aaron Jones Sr.","RB","MIN","11","25.7","-","-","1.9","-","-","7.2","6.6","15.9","7.4","2.2","-","BYE","-","8.9","14","13.5","16.6","10.9","119.9"
"38","Alexander Mattison","RB","FA","16","11.9","3.4","15","10.3","11.6","9.2","5.2","3.8","16.3","3.8","6.5","7.3","-","6.6","-","-0.1","4","3.4","7.4","118.2"
"39","Kareem Hunt","RB","FA","15","-","-","4.5","1.2","-","14.6","15.1","13.2","9.8","9.2","5.2","2.2","5.3","9.5","2.5","8.6","9.1","1","7.4","111"
"40","A.J. Dillon","RB","CAR","15","4.6","6.8","3.3","1.1","13.6","-","10.5","7.7","4.8","8.6","8.1","9.6","9.2","8.8","-","7.2","2.7","-","7.1","106.6"
"41","Antonio Gibson","RB","FA","16","0.4","6.8","1.9","3.1","8.4","8.1","4.1","6.7","10.1","14","-","5.2","9.2","-","6","9.7","4.6","5.1","6.5","103.4"
"42","Khalil Herbert","RB","FA","12","9.9","6.3","2.5","20.2","7.6","-","-","-","-","-","5.1","4.8","-","0.8","1.7","18.6","19.9","5.1","8.5","102.5"
"43","Samaje Perine","RB","CIN","17","9.8","3.9","3.4","4.5","9.5","0.6","5.6","3.1","-","5.8","10.2","13.1","1.6","6.9","5.3","4.9","3.6","4.5","5.7","96.3"
"44","Justice Hill","RB","BAL","16","12.9","6.8","-","3.3","10.5","5","5.3","7.5","4","0.7","1.2","3.1","BYE","1.7","2.3","7.2","19.7","4.1","6","95.3"
"45","Ty Chandler","RB","NO","16","2.3","1.9","3.6","0","1.5","0","1.7","0","-","10.5","13","1.6","-","5.7","23.2","7.7","7.9","9.9","5.7","90.5"
"45","Jaleel McLaughlin","RB","DEN","17","-0.2","6.5","1.5","17.9","16.4","5.2","5.1","4.9","BYE","2.2","4","0.4","3.1","3.7","2.8","8.7","7.7","0.6","5.3","90.5"
"47","Zach Charbonnet","RB","SEA","16","1.1","4","5","4.5","BYE","2.9","-","7.4","1.8","8.2","9.9","7.8","16.4","5.3","1.6","0.1","6.6","7","5.6","89.6"
"48","D'Onta Foreman","RB","FA","9","3.4","-","-","-","-","7.2","31.5","4.1","8.3","16.2","7.4","-","-","8.2","-0.6","-","-","-","9.5","85.7"
"49","Roschon Johnson","RB","CHI","15","14.5","5.2","5.9","2","1.9","-","-","4.6","2","5.2","3","10","BYE","0.6","8","6.8","13.4","2","5.7","85.1"
"50","Rico Dowdle","RB","PIT","16","2.4","4.8","12.1","2.2","1.5","1.2","-","3.5","0.8","13.9","3","9.1","2.7","11.7","2.2","0.4","-","11.5","5.2","83"
