"#","Player","Pos","Team","GP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Saquon Barkley","RB","PHI","16","32.2","15.6","31.6","12.6","BYE","6.4","25.7","11.6","31.4","8.3","32.8","44.2","18.7","14.4","8.4","27","17.9","-","21.2","338.8"
"2","Jahmyr Gibbs","RB","DET","17","15.4","14.1","16.3","19.8","BYE","10.6","30","19.8","14.1","11.8","18.8","23.4","9.4","16.3","25.9","23.4","24.3","43.5","19.8","336.9"
"3","Derrick Henry","RB","BAL","17","10.6","16.1","29.9","34.4","16.1","25.2","24.7","14.2","25.8","13.6","10.5","14","12.6","BYE","6.7","19.9","23.5","29.1","19.2","326.9"
"4","Bijan Robinson","RB","ATL","17","13.6","14.2","12.2","9.4","9.2","24","21.8","20.1","18","27.9","8.3","BYE","22.5","19.1","14","23.3","23.3","30.3","18.3","311.2"
"5","Josh Jacobs","RB","GB","17","11.4","13.1","5.3","9.8","15.9","10.5","17.7","25","11.8","BYE","21.4","28.6","19.7","24.6","19.6","18.7","10.9","11.1","16.2","275.1"
"6","De'Von Achane","RB","MIA","17","19.5","26","7.3","4.4","2.2","BYE","9.5","23.7","28.1","7.7","18.5","19.1","17","15.9","11.1","28","4.8","18.1","15.3","260.9"
"7","Kyren Williams","RB","LAR","16","12.9","13.2","30.6","18.4","15","BYE","19.6","20.1","10","8.7","8.6","11.2","17.8","22.7","12.2","19.4","14.7","-","15.9","255.1"
"8","James Cook III","RB","BUF","16","11.8","28","16.7","5.3","16.9","-","9.2","26.8","9.4","15","17.2","BYE","18.5","3.9","25.8","26.1","11.3","8.8","15.7","250.7"
"9","Jonathan Taylor","RB","IND","14","10.8","14.5","26","18.3","-","-","-","18.2","7.4","13.2","6.5","3.5","16.8","BYE","9.6","39.8","26.6","24.5","16.8","235.7"
"10","Alvin Kamara","RB","NO","14","19.5","43","14.2","21.4","9.6","14.9","5.4","15.2","24.5","13.4","10.9","BYE","13.9","10.4","15","-","-","-","16.5","231.3"
"11","James Conner","RB","ARI","16","17.8","18.9","3","17.8","13","4.6","16.2","13.9","13.4","19.8","BYE","7.4","9.6","20.2","28.3","24.6","1.8","-","14.4","230.3"
"12","Chase Brown","RB","CIN","16","3.8","3.1","7.9","22.2","14.9","13.4","6.3","10.4","24.2","17.9","16.8","BYE","17.5","21.3","24.8","12.4","11.1","-","14.3","228"
"13","Joe Mixon","RB","FA","14","25.3","6.5","-","-","-","26.2","25.4","21.4","16.6","16","34.3","7","19.9","-","8.1","7.6","4.9","3.3","15.9","222.5"
"14","Bucky Irving","RB","TB","17","8.6","2.2","9.9","12","4.6","17.5","15.2","11.9","4.9","16.2","BYE","24.2","26","2.3","12.3","16.7","21","15.4","13","220.9"
