"#","Player","Pos","Team","GP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Travis Kelce","TE","KC","17","22.1","7.6","15.9","19.7","30","15.2","12.8","BYE","15.6","17.1","32.5","13.7","5.6","9.1","15.5","14.3","7.8","6.8","15.4","261.3"
"2","T.J. Hockenson","TE","MIN","17","5.8","4.1","9.3","35.9","1.1","-","6.8","9.5","11.5","8","5.9","12.8","5.3","8.7","6.8","29.4","9.4","2.1","10.1","172.4"
"3","George Kittle","TE","SF","15","-","-","4.8","3.4","5.2","12.3","18.8","11.4","BYE","2.6","22.4","4.1","3.2","4.8","23.3","27","10.3","16.9","11.4","170.5"
"4","Mark Andrews","TE","BAL","15","7.7","21.2","24.9","2.5","18.9","20.1","0.4","4.8","-","BYE","9.3","9","7.4","2.7","4.6","6","14.5","-","10.3","154"
"5","Taysom Hill","TE","FA","16","14.8","1.4","-","8.1","34.1","4.5","9.6","7.8","1.1","0.1","7.1","2.5","12.3","-","10.2","11.6","13.1","3","8.8","141.3"
"6","Evan Engram","TE","DEN","17","4.8","8.1","3.4","2.1","9.9","6.5","8.7","13.5","1.3","2.9","-","0.9","11.5","33.7","10.2","14.8","3.4","4.7","8.3","140.4"
"7","Cole Kmet","TE","CHI","17","0","0","5","3.1","6.5","2","4.2","8.1","19.5","21.4","5","4.2","10.2","BYE","4.5","5.2","9.7","13.7","7.2","122.3"
"8","Pat Freiermuth","TE","PIT","15","10","10.2","5.1","12","2.2","-","11.5","7.7","BYE","5.6","11.9","5.4","9.1","10.8","-","10.1","5.1","0","7.8","116.7"
"9","Tyler Higbee","TE","LAR","16","6.4","10.6","8.1","12.3","8.1","1.2","BYE","2.5","0","11.3","6.5","-","2.4","2.1","10.7","25.9","2.6","5.3","7.3","116"
"10","Dalton Schultz","TE","HOU","15","9.7","0.8","-","0","0","BYE","7.4","10.4","-","14.4","3.7","17.1","4.3","11.7","2.5","5.8","21.1","5.3","7.6","114.2"
"11","Juwan Johnson","TE","NO","16","5.3","6","0","4.8","1.8","6.1","17.7","2.4","11.2","12.9","12.2","0","-","BYE","20.7","1.4","8.7","2.6","7.1","113.8"
"12","Dallas Goedert","TE","PHI","12","7.5","10.7","10.1","9.7","13.5","3.2","BYE","9.4","20","7.8","-","-","-","-","-","8.2","6","7.6","9.5","113.7"
"13","David Njoku","TE","FA","14","1.2","4.7","19.4","7.2","11.8","7.3","10.6","-","-","-","2.7","11.4","-","15.2","4.3","2.4","2.6","12.2","8.1","113"
"14","Dawson Knox","TE","BUF","15","1","6.1","4.5","5.5","-","11.2","BYE","8","4","7.7","10.5","2.7","0","12.1","18.8","11.3","-","8.3","7.4","111.7"
"15","Gerald Everett","TE","FA","15","12.9","10.1","3.5","14.6","0.7","5.4","8.8","-","6.1","3.3","-","5.8","10.5","5.3","6.2","-","9","8.3","7.4","110.5"
"16","Tyler Conklin","TE","DET","17","9.6","7","12.4","6.7","0","2.2","4.2","22.9","1.2","-","2.5","6.5","1.9","5.3","1.4","5.4","11","2.3","6","102.5"
"17","Jordan Akins","TE","FA","15","-","-","10.6","4.3","3.2","-","8.3","1","0","8.7","1.8","12.6","3.6","1","9.7","5.4","4.8","23","6.5","98"
"18","Noah Fant","TE","NO","17","3.1","2.1","4.7","6.7","6.4","7.5","1.2","2.9","12.1","4.9","-","4.9","12.2","0","11.7","8.2","5","4","5.7","97.6"
"19","Zach Ertz","TE","FA","10","10.4","11.5","7.5","13.7","7.8","10.5","5.1","11.4","12.5","1.7","-","-","-","-","-","-","-","-","9.2","92.1"
"20","Robert Tonyan","TE","FA","17","5.1","2.1","6.7","9.2","4.3","14","4.7","6","4.4","1.3","2.9","3.5","1.5","-","0.9","1.8","12.7","4.4","5","85.5"
"21","Hunter Henry","TE","NE","16","3","0","1.3","2.3","7.4","14.1","1.7","2.7","7","BYE","2.5","13.8","2.3","8.5","1.9","-","7.7","7.2","5.2","83.4"
"22","Hayden Hurst","TE","FA","14","7.1","4.9","1.2","10.2","14.3","3.6","7.8","6.2","6","-","3.8","8.7","2.2","-","-","-","3.5","3.4","5.9","82.9"
"23","Mike Gesicki","TE","CIN","17","0.6","12.1","1.1","3.3","3.5","21.9","4.2","11.3","0.8","4.1","-","0","0","0","1","2.9","8.8","6.6","4.8","82.2"
"24","Chig Okonkwo","TE","WAS","17","1.2","0","0","11.3","0","-","0","0.8","5.3","4.6","3.6","5","8.8","15.5","8","1.5","3.9","11.7","4.8","81.2"
"25","Austin Hooper","TE","ATL","17","1.1","2.4","2.9","0.9","1.2","-","7.1","1","4.4","6.6","17.6","4.5","3.7","9.3","4.3","3","1.1","5.8","4.5","76.9"
"26","Isaiah Likely","TE","NYG","15","0","6.3","1.3","0","1.7","4","2.1","16.7","8.9","-","0.6","-","5","-","2.8","0.9","8.7","14.3","4.9","73.3"
"27","Cade Otton","TE","TB","16","0","0.9","-","4.4","7.3","3.3","8.4","2.5","15.3","5","BYE","0","11.8","4.8","2.5","2.2","2.7","1","4.5","72.1"
"28","Darren Waller","TE","FA","9","9.9","14","3.7","3.9","-","-","-","0","-","-","-","-","-","-","12.3","7.8","14.7","4.5","7.9","70.8"
"29","Will Dissly","TE","FA","15","11.8","1","10.9","11.9","3.1","1.7","6.5","2.2","3.9","3.8","-","2.7","3.2","3","1.8","2.4","-","-","4.7","69.9"
"30","Greg Dulcich","TE","MIA","10","-","-","-","-","-","11.4","8.1","10.7","-","1.6","5","2.1","11.5","5.7","1.6","11.9","-","-","7","69.6"
"31","Foster Moreau","TE","HOU","14","-","4.5","5.9","-","-","BYE","4.3","6.1","3.4","11.8","3.8","10.8","3.7","0","3","2.9","7","1.5","4.9","68.7"
"32","Jelani Woods","TE","NYJ","14","0","0","14.3","3.8","0","9.7","0.9","-","0.7","BYE","-","13.8","3.8","-","4.1","5.8","3.4","1.4","4.4","61.7"
"33","Kyle Pitts Sr.","TE","ATL","10","2.9","2.9","11.2","3","-","9.4","2.4","16.5","3.7","3.8","5.8","-","-","BYE","-","-","-","-","6.2","61.6"
"34","Daniel Bellinger","TE","TEN","12","0","8.1","6","3.8","9.4","12.3","1.8","-","-","-","-","-","4.9","3.4","0.9","3.7","5.7","-","5","60"
"35","Logan Thomas","TE","FA","13","6","11.2","1.5","4.4","-","-","-","-","0","2.2","9","1.2","3.5","-","1.1","6.5","8.6","2.6","4.4","57.8"
"36","Colby Parkinson","TE","LAR","14","11.3","-","5.4","3.8","-","2.1","3.3","1","1.6","1.2","-","-","1.7","1.5","0","6","12.1","5.7","4.1","56.7"
"37","Noah Gray","TE","KC","17","1.5","2.2","3.1","6.1","1.2","2.8","1.5","BYE","6","9","2.5","2.6","2","6","4.6","1.3","1.7","1.9","3.3","56"
"38","Brock Wright","TE","DET","16","0","3","0","0","-","BYE","7.7","1.1","0","6.7","3","1.6","3.5","0","11.6","1.6","14.8","0","3.4","54.6"
"39","MyCole Pruitt","TE","FA","10","-","-","-","-","-","6.7","-","-","1.1","1.1","2.2","7.9","7.2","-","3","0","6.9","10.9","4.7","47"
"39","Trey McBride","TE","ARI","14","-","0","0","3.9","-","0","0","0","-","1.2","3.4","0.6","BYE","4.3","7.5","3.2","17.3","5.6","3.4","47"
"41","Harrison Bryant","TE","FA","14","2.8","6","-","3.8","0","3.3","2.5","-","-","9","6.1","1.9","1.9","1.3","1.7","-","2.9","3","3.3","46.2"
"42","Kylen Granson","TE","TEN","13","3.7","2.4","1.7","8.2","2.1","5.8","1.1","2.6","0","7.7","2.1","-","3.9","-","4.4","-","-","-","3.5","45.7"
