"#","Player","Pos","Team","GP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Christian McCaffrey","RB","SF","17","18.7","19.7","19","23.1","23.9","20.6","35.6","8.3","31.8","13.6","32.6","23.7","15.4","BYE","15.2","29.6","26.1","8.7","21.5","365.6"
"2","Jonathan Taylor","RB","IND","17","11.3","28.5","31.3","12.1","30.1","21.7","32.7","36.4","6.7","48.1","BYE","7.6","13.6","11.4","11.6","15.4","15.9","4.9","20","339.3"
"3","Bijan Robinson","RB","ATL","17","21.4","18.3","13.6","26.1","BYE","32.8","18.2","4.3","13.6","9.8","28.3","13.7","27.8","8.4","25.5","26.3","37.4","5.8","19.5","331.3"
"4","Jahmyr Gibbs","RB","DET","17","10","17.9","24.4","16.7","15.7","7","35.3","BYE","4.3","36.7","17.1","49.9","10.1","33.5","7.8","17.8","5.4","18.8","19.3","328.4"
"5","De'Von Achane","RB","MIA","16","15","22.2","12.6","16.6","13.6","29","11.3","17.6","13.6","37.5","19","BYE","19.4","17","15.7","16.5","12.7","-","18.1","289.3"
"6","James Cook III","RB","BUF","17","18.7","26","19.3","21","4.9","8.7","BYE","33.6","13","8.2","18.9","20.4","17.2","10.1","30.1","25.9","8.2","1.5","16.8","285.7"
"7","Derrick Henry","RB","BAL","17","28.7","2.3","10.2","6.8","9.3","13.5","BYE","19.1","12.6","9.9","19.2","21.8","16.9","10.7","10","22.8","45.6","12.6","16","272"
"8","Chase Brown","RB","CIN","17","12.1","7.5","4","8.6","8.3","7.9","11","24","15.2","BYE","15.7","14","14.8","17","12.5","30.9","27.6","17","14.6","248.1"
"9","Kyren Williams","RB","LAR","17","13.4","9","18.2","8.9","27.1","15.7","7.5","BYE","17.4","21.4","16.1","5.3","13.2","16.7","21.3","10","14.5","9.6","14.4","245.3"
"10","Travis Etienne Jr.","RB","NO","17","17.1","15.9","11.6","19","7.3","7.5","6","-","14","14.7","19.3","19.1","4.6","20.7","30","14.6","10.2","4.3","13.9","235.9"
"11","Javonte Williams","RB","DAL","16","19.4","22","9.7","17.5","26.4","5.9","18.3","17.4","6.8","BYE","9.8","11.1","15.5","13.7","15.1","5.3","11.4","-","14.1","225.3"
"12","Josh Jacobs","RB","GB","15","13.5","14.4","9.9","29.7","BYE","29.5","18.3","12","18","17.2","4","-","9.6","16.2","22.2","3.8","0.8","-","14.6","219.1"
"13","Ashton Jeanty","RB","LV","17","11","5.9","6.3","32.5","13.4","15.6","3.9","BYE","17.4","13.8","6.4","20.8","9.1","4.8","6.2","31.3","8.3","10.9","12.8","217.6"
"14","Saquon Barkley","RB","PHI","16","16.4","16.4","7.5","15.4","16.3","7.7","4.7","31.4","BYE","11.6","9.5","8.9","5.6","18.2","16.2","21.2","6.8","-","13.4","213.8"
