"#","Player","Pos","Team","GP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","CeeDee Lamb","WR","DAL","17","9.7","19.8","8.2","12.8","6.9","15.2","BYE","35","22.6","34","13.5","15.3","26.6","16.1","15.1","22.2","33.7","29","19.7","335.7"
"2","Tyreek Hill","WR","FA","16","39","12.5","26.2","8.7","28.1","25.3","20.3","21.2","8.5","-","25.6","20.9","29.8","8.1","-","14.4","10.6","17.7","19.8","316.9"
"3","Amon-Ra St. Brown","WR","DET","16","16.1","11.2","15.1","14.1","-","24.4","16.7","13.8","BYE","26.5","17.7","14","11.9","3.6","20.7","22.6","19.1","23.9","17","271.4"
"4","Puka Nacua","WR","LAR","17","16.9","22.6","9.7","26.8","16.6","4.6","19.4","5.8","4.7","BYE","16.2","4.7","21.9","11.5","7.8","28.5","16.2","12.1","14.5","246"
"5","Mike Evans","WR","SF","17","15.6","26.1","14.5","5.5","-","6.9","17.2","11.4","10.7","23.3","12.8","22","25.7","1.3","13.7","24.1","8.5","3.7","14.3","243"
"6","DJ Moore","WR","BUF","17","3.5","13.4","11.6","23.1","45","7.6","9.4","7.5","3.9","8.4","19.1","16.9","BYE","23.8","7.2","3.3","26.4","8.4","14","238.5"
"7","A.J. Brown","WR","PHI","17","11.4","4.9","17.6","34","15.7","16.6","24.7","29","16.1","BYE","1.3","12.2","15.4","11.9","8.1","11","7.3","-0.6","13.9","236.6"
"8","Keenan Allen","WR","LAC","13","11.2","27.1","36.5","10.7","BYE","18","7.5","10.9","11.7","35","22.6","15.6","8.3","9.8","-","-","-","-","17.3","224.9"
"9","Nico Collins","WR","HOU","15","11","24.1","4.4","32.3","5.4","10","BYE","5","12.9","-","10","19.9","29.6","1.8","-","11.8","12.2","30","14.7","220.4"
"10","Stefon Diggs","WR","FA","17","21.2","10.1","15.1","33","20.1","15","14.8","11.5","19.6","4.9","4.7","16.4","-","4.4","6.8","5.4","5.1","12.2","13","220.3"
"11","Davante Adams","WR","LAR","17","9.6","17.4","35.7","11.5","6.5","3.9","9.2","1.6","5.4","11.6","17.7","9.8","-","8.8","20.1","0.9","31.1","13.1","12.6","213.9"
"12","Deebo Samuel Sr.","WR","FA","15","8.8","19.1","22.1","0.6","10","1.1","-","-","-","13.9","7.7","18.9","33.8","30.5","19.9","7.4","15.7","4.2","14.2","213.7"
"13","Ja'Marr Chase","WR","CIN","16","6.6","5.6","20.1","10.8","44.7","11","BYE","20.2","6.1","20.9","8.2","10.1","26.1","4.4","8.4","-","5.6","3.9","13.3","212.7"
"14","Brandon Aiyuk","WR","SF","16","28.9","5.8","-","17.8","7.8","9.6","8.2","13.4","BYE","13","24.1","12","13.1","13.6","5.2","14.3","20.9","4","13.2","211.7"
"15","Michael Pittman Jr.","WR","PIT","16","19.7","9.6","12.2","4","7.7","15.4","15.3","14","10.4","12.4","-","15.7","22","15.5","9.8","-","7.1","4.9","12.2","195.7"
"16","DK Metcalf","WR","PIT","16","12.2","10.5","14.2","10.9","-","8.9","-","9.2","5.5","13.3","17.9","4.7","34.4","12.2","10.3","13.6","13.1","1.5","12","192.4"
"17","Calvin Ridley","WR","TEN","17","20.1","4.2","5.5","10.8","17.1","4.6","1","11.3","-","3","27.6","19.4","5.3","7.3","6.4","22.8","5.9","19.6","11.3","191.9"
"18","Amari Cooper","WR","FA","15","5.2","12.5","21.1","2.1","-","12.8","3.2","11.9","22.4","12.8","5.4","2.6","4.9","9.2","18.9","46","-","-","12.7","191"
"19","Chris Olave","WR","NO","16","15.2","11.6","14.4","0.9","8.2","13.1","9.2","7.1","13.6","18.4","BYE","14.9","14.4","10.8","-","18.8","4.1","13.1","11.7","187.8"
"20","DeVonta Smith","WR","PHI","16","14.2","21.1","4.8","11.3","1.1","6.9","6.9","19.4","12.6","BYE","12.9","20.1","20.1","7.8","7.5","15.9","4.5","-","11.7","187.1"
"21","Jordan Addison","WR","MIN","17","14.1","14.7","8.2","0","15.4","10.3","27.8","17.9","7.7","8.9","5.9","6.9","BYE","3.7","26.1","0.7","4.3","13.7","11","186.3"
"22","DeAndre Hopkins","WR","BAL","17","10","6","6.3","8.3","18","2.5","-","32.8","8.5","4.2","13.9","6.4","16.4","21.9","3.1","3","10.7","14.1","10.9","186.1"
"23","Jayden Reed","WR","GB","16","5.6","17.7","7.8","9","1.2","BYE","9.6","10.3","5.5","16.9","17.2","13","3.6","16.5","14.2","-","23.9","13.2","11.6","185.2"
"24","Jakobi Meyers","WR","JAC","16","24.6","-","12","4.3","17","14.6","14.5","2.4","12.5","3.1","6.9","17.1","-","5","14.7","5.7","8.6","20.1","11.4","183.1"
"25","Adam Thielen","WR","FA","17","2.2","16.9","26","11.7","22.2","23","-","11.2","5.4","7.2","11.4","0.7","4","9.9","6.3","12.4","6.8","2.2","10.6","179.5"
"26","George Pickens","WR","DAL","17","6.1","20.7","9.5","4","23.6","-","13.2","8.7","0.9","6","5.7","7.3","10.6","4.4","6.2","33.5","16.6","0.3","10.4","177.3"
"27","Rashee Rice","WR","KC","16","10.1","3","8.4","4.7","11.3","9.2","14.5","7.6","8.7","BYE","6.2","20.7","10.4","14.7","19.6","8.7","15.2","-","10.8","173"
